analysis_group	model	fpr	tpr	auc
Stool Treated	xgboost	0.7777777777777778	0.9808909444985394	0.773
Stool Treated	xgboost	0.787878787878788	0.9808909444985394	0.773
Stool Treated	xgboost	0.797979797979798	0.9808909444985394	0.773
Stool Treated	xgboost	0.8080808080808082	0.9808909444985394	0.773
Stool Treated	xgboost	0.8181818181818182	0.9808909444985394	0.773
Stool Treated	xgboost	0.8282828282828284	0.9808909444985394	0.773
Stool Treated	xgboost	0.8383838383838385	0.9808909444985394	0.773
Stool Treated	xgboost	0.8484848484848485	0.9808909444985394	0.773
Stool Treated	xgboost	0.8585858585858587	0.990506329113924	0.773
Stool Treated	xgboost	0.8686868686868687	0.990506329113924	0.773
Stool Treated	xgboost	0.8787878787878789	0.990506329113924	0.773
Stool Treated	xgboost	0.888888888888889	0.990506329113924	0.773
Stool Treated	xgboost	0.8989898989898991	0.990506329113924	0.773
Stool Treated	xgboost	0.9090909090909092	0.990506329113924	0.773
Stool Treated	xgboost	0.9191919191919192	0.990506329113924	0.773
Stool Treated	xgboost	0.9292929292929294	0.990506329113924	0.773
Stool Treated	xgboost	0.9393939393939394	0.990506329113924	0.773
Stool Treated	xgboost	0.9494949494949496	0.990506329113924	0.773
Stool Treated	xgboost	0.9595959595959596	0.990506329113924	0.773
Stool Treated	xgboost	0.9696969696969696	0.990506329113924	0.773
Stool Treated	xgboost	0.97979797979798	0.990506329113924	0.773
Stool Treated	xgboost	0.98989898989899	0.990506329113924	0.773
Stool Treated	xgboost	1.0	1.0	0.773
Duodenum Active	xgboost	0.0	0.1625	0.645
Duodenum Active	xgboost	0.0101010101010101	0.1625	0.645
Duodenum Active	xgboost	0.0202020202020202	0.1625	0.645
Duodenum Active	xgboost	0.0303030303030303	0.1625	0.645
Duodenum Active	xgboost	0.0404040404040404	0.1625	0.645
Duodenum Active	xgboost	0.0505050505050505	0.1625	0.645
Duodenum Active	xgboost	0.0606060606060606	0.1637626262626262	0.645
Duodenum Active	xgboost	0.0707070707070707	0.1653619528619528	0.645
Duodenum Active	xgboost	0.0808080808080808	0.1688552188552188	0.645
Duodenum Active	xgboost	0.0909090909090909	0.1732954545454545	0.645
Duodenum Active	xgboost	0.101010101010101	0.1777356902356902	0.645
Duodenum Active	xgboost	0.1111111111111111	0.1905092592592593	0.645
Duodenum Active	xgboost	0.1212121212121212	0.1949494949494949	0.645
Duodenum Active	xgboost	0.1313131313131313	0.2431607744107744	0.645
Duodenum Active	xgboost	0.1414141414141414	0.2509680134680134	0.645
Duodenum Active	xgboost	0.1515151515151515	0.2587752525252525	0.645
Duodenum Active	xgboost	0.1616161616161616	0.2754208754208755	0.645
Duodenum Active	xgboost	0.1717171717171717	0.3072180134680135	0.645
Duodenum Active	xgboost	0.1818181818181818	0.3390151515151515	0.645
Duodenum Active	xgboost	0.1919191919191919	0.3708122895622897	0.645
Duodenum Active	xgboost	0.202020202020202	0.4026094276094277	0.645
Duodenum Active	xgboost	0.2121212121212121	0.4306186868686868	0.645
Duodenum Active	xgboost	0.2222222222222222	0.4384259259259259	0.645
Duodenum Active	xgboost	0.2323232323232323	0.4433922558922559	0.645
Duodenum Active	xgboost	0.2424242424242424	0.4483585858585858	0.645
Duodenum Active	xgboost	0.2525252525252525	0.4524831649831649	0.645
Duodenum Active	xgboost	0.2626262626262626	0.4540824915824916	0.645
Duodenum Active	xgboost	0.2727272727272727	0.4561868686868687	0.645
Duodenum Active	xgboost	0.2828282828282829	0.4583193041526375	0.645
Duodenum Active	xgboost	0.2929292929292929	0.4604517396184063	0.645
Duodenum Active	xgboost	0.303030303030303	0.4739478114478115	0.645
Duodenum Active	xgboost	0.3131313131313131	0.4931257014590349	0.645
Duodenum Active	xgboost	0.3232323232323232	0.5123035914702583	0.645
Duodenum Active	xgboost	0.3333333333333333	0.5314814814814817	0.645
Duodenum Active	xgboost	0.3434343434343435	0.550659371492705	0.645
Duodenum Active	xgboost	0.3535353535353536	0.5698372615039282	0.645
Duodenum Active	xgboost	0.3636363636363636	0.5890151515151516	0.645
Duodenum Active	xgboost	0.3737373737373737	0.6025112233445566	0.645
Duodenum Active	xgboost	0.3838383838383838	0.6879769921436587	0.645
Duodenum Active	xgboost	0.393939393939394	0.6901094276094276	0.645
Duodenum Active	xgboost	0.4040404040404041	0.6922418630751963	0.645
Duodenum Active	xgboost	0.4141414141414142	0.6943742985409652	0.645
Duodenum Active	xgboost	0.4242424242424242	0.6965067340067339	0.645
Duodenum Active	xgboost	0.4343434343434343	0.6986391694725028	0.645
Duodenum Active	xgboost	0.4444444444444445	0.7007716049382715	0.645
Duodenum Active	xgboost	0.4545454545454546	0.7029040404040404	0.645
Duodenum Active	xgboost	0.4646464646464647	0.7050364758698091	0.645
Duodenum Active	xgboost	0.4747474747474748	0.707168911335578	0.645
Duodenum Active	xgboost	0.4848484848484848	0.7301346801346801	0.645
Duodenum Active	xgboost	0.494949494949495	0.7322671156004489	0.645
Duodenum Active	xgboost	0.5050505050505051	0.7343995510662177	0.645
Duodenum Active	xgboost	0.5151515151515152	0.7365319865319865	0.645
Duodenum Active	xgboost	0.5252525252525253	0.7386644219977553	0.645
Duodenum Active	xgboost	0.5353535353535354	0.7407968574635241	0.645
Duodenum Active	xgboost	0.5454545454545455	0.742929292929293	0.645
Duodenum Active	xgboost	0.5555555555555556	0.7450617283950617	0.645
Duodenum Active	xgboost	0.5656565656565657	0.7528759820426488	0.645
Duodenum Active	xgboost	0.5757575757575758	0.7606902356902357	0.645
Duodenum Active	xgboost	0.5858585858585859	0.7685044893378226	0.645
Duodenum Active	xgboost	0.595959595959596	0.7744248035914703	0.645
Duodenum Active	xgboost	0.6060606060606061	0.776557239057239	0.645
Duodenum Active	xgboost	0.6161616161616162	0.7786896745230079	0.645
Duodenum Active	xgboost	0.6262626262626263	0.7808221099887765	0.645
Duodenum Active	xgboost	0.6363636363636365	0.7829545454545455	0.645
Duodenum Active	xgboost	0.6464646464646465	0.7850869809203141	0.645
Duodenum Active	xgboost	0.6565656565656566	0.7872194163860831	0.645
Duodenum Active	xgboost	0.6666666666666667	0.7893518518518517	0.645
Duodenum Active	xgboost	0.6767676767676768	0.7914842873176207	0.645
Duodenum Active	xgboost	0.686868686868687	0.7936167227833894	0.645
Duodenum Active	xgboost	0.696969696969697	0.7957491582491583	0.645
Duodenum Active	xgboost	0.7070707070707072	0.7985129068462401	0.645
Duodenum Active	xgboost	0.7171717171717172	0.8025392817059485	0.645
Duodenum Active	xgboost	0.7272727272727273	0.8065656565656566	0.645
Duodenum Active	xgboost	0.7373737373737375	0.810592031425365	0.645
Duodenum Active	xgboost	0.7474747474747475	0.814618406285073	0.645
Duodenum Active	xgboost	0.7575757575757577	0.860311447811448	0.645
Duodenum Active	xgboost	0.7676767676767677	0.8643378226711559	0.645
Duodenum Active	xgboost	0.7777777777777778	0.8683641975308642	0.645
Duodenum Active	xgboost	0.787878787878788	0.8723905723905723	0.645
Duodenum Active	xgboost	0.797979797979798	0.8764169472502806	0.645
Duodenum Active	xgboost	0.8080808080808082	0.8804433221099888	0.645
Duodenum Active	xgboost	0.8181818181818182	0.9065656565656568	0.645
Duodenum Active	xgboost	0.8282828282828284	0.9143799102132436	0.645
Duodenum Active	xgboost	0.8383838383838385	0.9221941638608304	0.645
Duodenum Active	xgboost	0.8484848484848485	0.9300084175084176	0.645
Duodenum Active	xgboost	0.8585858585858587	0.9378226711560046	0.645
Duodenum Active	xgboost	0.8686868686868687	0.9456369248035916	0.645
Duodenum Active	xgboost	0.8787878787878789	0.9534511784511784	0.645
Duodenum Active	xgboost	0.888888888888889	0.9612654320987654	0.645
Duodenum Active	xgboost	0.8989898989898991	0.9688552188552192	0.645
Duodenum Active	xgboost	0.9090909090909092	0.9761363636363638	0.645
Duodenum Active	xgboost	0.9191919191919192	0.9834175084175084	0.645
Duodenum Active	xgboost	0.9292929292929294	0.9888047138047136	0.645
Duodenum Active	xgboost	0.9393939393939394	0.9904040404040404	0.645
Duodenum Active	xgboost	0.9494949494949496	0.992003367003367	0.645
Duodenum Active	xgboost	0.9595959595959596	0.9936026936026936	0.645
Duodenum Active	xgboost	0.9696969696969696	0.9952020202020204	0.645
Duodenum Active	xgboost	0.97979797979798	0.9968013468013468	0.645
Duodenum Active	xgboost	0.98989898989899	0.9984006734006736	0.645
Duodenum Active	xgboost	1.0	1.0	0.645
