analysis_group	model	fpr	tpr	auc
Stool Active	rf	0.6262626262626263	0.9042087542087542	0.792
Stool Active	rf	0.6363636363636365	0.9045454545454544	0.792
Stool Active	rf	0.6464646464646465	0.9048821548821548	0.792
Stool Active	rf	0.6565656565656566	0.9052188552188551	0.792
Stool Active	rf	0.6666666666666667	0.9055555555555556	0.792
Stool Active	rf	0.6767676767676768	0.905892255892256	0.792
Stool Active	rf	0.686868686868687	0.9062289562289564	0.792
Stool Active	rf	0.696969696969697	0.9065656565656566	0.792
Stool Active	rf	0.7070707070707072	0.9266666666666667	0.792
Stool Active	rf	0.7171717171717172	0.9266666666666667	0.792
Stool Active	rf	0.7272727272727273	0.9266666666666667	0.792
Stool Active	rf	0.7373737373737375	0.9266666666666667	0.792
Stool Active	rf	0.7474747474747475	0.9266666666666667	0.792
Stool Active	rf	0.7575757575757577	0.9266666666666667	0.792
Stool Active	rf	0.7676767676767677	0.9266666666666667	0.792
Stool Active	rf	0.7777777777777778	0.9466666666666664	0.792
Stool Active	rf	0.787878787878788	0.9466666666666664	0.792
Stool Active	rf	0.797979797979798	0.9466666666666664	0.792
Stool Active	rf	0.8080808080808082	0.9636026936026936	0.792
Stool Active	rf	0.8181818181818182	0.963939393939394	0.792
Stool Active	rf	0.8282828282828284	0.9642760942760944	0.792
Stool Active	rf	0.8383838383838385	0.9646127946127944	0.792
Stool Active	rf	0.8484848484848485	0.9649494949494948	0.792
Stool Active	rf	0.8585858585858587	0.9652861952861952	0.792
Stool Active	rf	0.8686868686868687	0.9656228956228956	0.792
Stool Active	rf	0.8787878787878789	0.9659595959595958	0.792
Stool Active	rf	0.888888888888889	0.9696296296296296	0.792
Stool Active	rf	0.8989898989898991	0.9699663299663298	0.792
Stool Active	rf	0.9090909090909092	0.98	0.792
Stool Active	rf	0.9191919191919192	0.98	0.792
Stool Active	rf	0.9292929292929294	0.98	0.792
Stool Active	rf	0.9393939393939394	0.98	0.792
Stool Active	rf	0.9494949494949496	0.98	0.792
Stool Active	rf	0.9595959595959596	0.98	0.792
Stool Active	rf	0.9696969696969696	0.98	0.792
Stool Active	rf	0.97979797979798	0.98	0.792
Stool Active	rf	0.98989898989899	0.98	0.792
Stool Active	rf	1.0	1.0	0.792
Stool Treated	rf	0.0	0.5380769230769229	0.913
Stool Treated	rf	0.0101010101010101	0.5385651385651384	0.913
Stool Treated	rf	0.0202020202020202	0.539053354053354	0.913
Stool Treated	rf	0.0303030303030303	0.5395415695415694	0.913
